Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","29","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","25","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","2","Afghanistan","5301","Disponibilité intérieure","2734","Viande de Volailles","2018","2018","Milliers de tonnes","53","S","Données standardisées"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","1762","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","515","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","202","Afrique du Sud","5301","Disponibilité intérieure","2734","Viande de Volailles","2018","2018","Milliers de tonnes","2228","S","Données standardisées"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","16","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","5611","Importations - Quantité","2734","Viande de Volailles","2018","2018","Milliers de tonnes","12","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2014-)","3","Albanie","5301","Disponibilité intérieure","2734","Viande de Volailles","2018","2018","Milliers de tonnes","27","S","Données standardisées"
"FBS","Bilans Alimentaires (2014-)","4","Algérie","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","295","Im","Données de la FAO basées sur une méthodologie d'imputation"
