Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2829.8","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1020.3","","Donnée officielle"
"PP","Prix à la Production","9","Argentine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","948.2","","Donnée officielle"
"PP","Prix à la Production","1","Arménie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","819.5","","Donnée officielle"
"PP","Prix à la Production","11","Autriche","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1244.7","","Donnée officielle"
"PP","Prix à la Production","57","Bélarus","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","787","","Donnée officielle"
"PP","Prix à la Production","255","Belgique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1030.1","","Donnée officielle"
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","714.2","Fc","Donnée calculée"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2594.7","","Donnée officielle"
"PP","Prix à la Production","27","Bulgarie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1088.2","","Donnée officielle"
"PP","Prix à la Production","33","Canada","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1605.2","","Donnée officielle"
"PP","Prix à la Production","351","Chine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2505.4","","Donnée officielle"
"PP","Prix à la Production","96","Chine - RAS de Hong-Kong","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","5119.6","","Donnée officielle"
"PP","Prix à la Production","41","Chine, continentale","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2505.4","","Donnée officielle"
"PP","Prix à la Production","98","Croatie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1132.8","","Donnée officielle"
"PP","Prix à la Production","54","Danemark","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","976.6","","Donnée officielle"
"PP","Prix à la Production","58","Équateur","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1731.1","","Donnée officielle"
"PP","Prix à la Production","203","Espagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1367.9","","Donnée officielle"
"PP","Prix à la Production","63","Estonie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1212","","Donnée officielle"
"PP","Prix à la Production","231","États-Unis d'Amérique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1250","","Donnée officielle"
"PP","Prix à la Production","185","Fédération de Russie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1130.5","","Donnée officielle"
"PP","Prix à la Production","84","Grèce","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1678.1","","Donnée officielle"
"PP","Prix à la Production","90","Guinée","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2753.7","","Donnée officielle"
"PP","Prix à la Production","91","Guyana","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","2330.1","","Donnée officielle"
"PP","Prix à la Production","97","Hongrie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","940.2","","Donnée officielle"
"PP","Prix à la Production","101","Indonésie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1985.6","","Donnée officielle"
"PP","Prix à la Production","103","Iraq","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","3842.8","","Donnée officielle"
"PP","Prix à la Production","105","Israël","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1830.9","","Donnée officielle"
"PP","Prix à la Production","106","Italie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2018","2018","7021","Valeur annuel","USD","1660.6","","Donnée officielle"
